Start	Finish	Task	CPU Decision	Frequency
3432.000000	_______	T[0][430]	DelayedArrival	____
3432.000000	3438.000000	____	Sleep	____
3438.000000	3439.000000	T[0][429]	Execute()	1.000000
3439.000000	3443.000000	____	Sleep	____
3440.000000	_______	T[0][431]	DelayedArrival	____
3443.000000	3444.000000	T[1][245]	Execute()	1.000000
3444.000000	_______	T[1][247]	DelayedArrival	____
3444.000000	3446.000000	____	Sleep	____
3446.000000	3447.000000	T[0][430]	Execute()	1.000000
3447.000000	3454.000000	____	Sleep	____
3447.500000	_______	T[0][432]	DelayedArrival	____
3454.000000	3456.000000	T[0][431]	Execute()	1.000000
3456.000000	_______	T[0][433]	DelayedArrival	____
3456.000000	3457.000000	____	Sleep	____
3457.000000	3457.500000	T[1][246]	Execute()	1.000000
3457.500000	3462.000000	____	Sleep	____
3458.000000	_______	T[1][248]	DelayedArrival	____
3462.000000	3462.500000	T[0][432]	Execute()	1.000000
3462.500000	3469.000000	____	Sleep	____
3463.000000	_______	T[0][434]	DelayedArrival	____
3469.000000	3469.500000	T[1][247]	Execute()	1.000000
3469.500000	3470.000000	T[0][433]	Execute()	1.000000
3470.000000	3478.000000	____	Sleep	____
3472.000000	_______	T[0][435]	DelayedArrival	____
3472.000000	_______	T[1][249]	DelayedArrival	____
3478.000000	3479.000000	T[0][434]	Execute()	1.000000
3479.000000	3485.000000	____	Sleep	____
3479.500000	_______	T[0][436]	DelayedArrival	____
3485.000000	3485.500000	T[1][248]	Execute()	1.000000
3485.500000	3486.000000	T[0][435]	Execute()	1.000000
3486.000000	_______	T[1][250]	DelayedArrival	____
3486.000000	3487.500000	T[0][435]	Execute()	1.000000
3487.500000	3494.000000	____	Sleep	____
3488.000000	_______	T[0][437]	DelayedArrival	____
3494.000000	3496.000000	T[0][436]	Execute()	1.000000
3496.000000	_______	T[0][438]	DelayedArrival	____
3496.000000	3499.000000	____	Sleep	____
3499.000000	3500.000000	T[1][249]	Execute()	1.000000
3500.000000	_______	T[1][251]	DelayedArrival	____
3500.000000	3502.000000	____	Sleep	____
3502.000000	3502.500000	T[0][437]	Execute()	1.000000
3502.500000	3510.000000	____	Sleep	____
3503.000000	_______	T[0][439]	DelayedArrival	____
3510.000000	3512.000000	T[0][438]	Execute()	1.000000
3512.000000	_______	T[0][440]	DelayedArrival	____
3512.000000	3513.000000	____	Sleep	____
3513.000000	3513.500000	T[1][250]	Execute()	1.000000
3513.500000	3518.000000	____	Sleep	____
3514.000000	_______	T[1][252]	DelayedArrival	____
3518.000000	3519.000000	T[0][439]	Execute()	1.000000
3519.000000	3525.000000	____	Sleep	____
3520.000000	_______	T[0][441]	DelayedArrival	____
3525.000000	3526.000000	T[1][251]	Execute()	1.000000
3526.000000	3528.000000	T[0][440]	Execute()	1.000000
3528.000000	_______	T[0][442]	DelayedArrival	____
3528.000000	_______	T[1][253]	DelayedArrival	____
3528.000000	3534.000000	____	Sleep	____
3534.000000	3535.000000	T[0][441]	Execute()	1.000000
3535.000000	3541.000000	____	Sleep	____
3536.000000	_______	T[0][443]	DelayedArrival	____
3541.000000	3542.000000	T[1][252]	Execute()	1.000000
3542.000000	_______	T[1][254]	DelayedArrival	____
3542.000000	3542.500000	T[0][442]	Execute()	1.000000
3542.500000	3550.000000	____	Sleep	____
3543.000000	_______	T[0][444]	DelayedArrival	____
3550.000000	3551.000000	T[0][443]	Execute()	1.000000
3551.000000	3555.000000	____	Sleep	____
3551.500000	_______	T[0][445]	DelayedArrival	____
3555.000000	3555.500000	T[1][253]	Execute()	1.000000
3555.500000	3558.000000	____	Sleep	____
3556.000000	_______	T[1][255]	DelayedArrival	____
3558.000000	3559.000000	T[0][444]	Execute()	1.000000
3559.000000	3566.000000	____	Sleep	____
3559.500000	_______	T[0][446]	DelayedArrival	____
3566.000000	3566.500000	T[0][445]	Execute()	1.000000
3566.500000	3569.000000	____	Sleep	____
3567.000000	_______	T[0][447]	DelayedArrival	____
3569.000000	3569.500000	T[1][254]	Execute()	1.000000
3569.500000	3574.000000	____	Sleep	____
3570.000000	_______	T[1][256]	DelayedArrival	____
3574.000000	3574.500000	T[0][446]	Execute()	1.000000
3574.500000	3581.000000	____	Sleep	____
3575.500000	_______	T[0][448]	DelayedArrival	____
3581.000000	3582.000000	T[1][255]	Execute()	1.000000
3582.000000	3584.000000	T[0][447]	Execute()	1.000000
3584.000000	_______	T[0][449]	DelayedArrival	____
3584.000000	_______	T[1][257]	DelayedArrival	____
3584.000000	3590.000000	____	Sleep	____
3590.000000	3590.500000	T[0][448]	Execute()	1.000000
3590.500000	3597.000000	____	Sleep	____
3591.000000	_______	T[0][450]	DelayedArrival	____
3597.000000	3597.500000	T[1][256]	Execute()	1.000000
3597.500000	3598.000000	T[0][449]	Execute()	1.000000
3598.000000	_______	T[1][258]	DelayedArrival	____
3598.000000	3606.000000	____	Sleep	____
3598.500000	_______	T[0][451]	DelayedArrival	____
3606.000000	3608.000000	T[0][450]	Execute()	1.000000
3608.000000	_______	T[0][452]	DelayedArrival	____
3608.000000	3611.000000	____	Sleep	____
3611.000000	3611.500000	T[1][257]	Execute()	1.000000
3611.500000	3614.000000	____	Sleep	____
3612.000000	_______	T[1][259]	DelayedArrival	____
3614.000000	3615.000000	T[0][451]	Execute()	1.000000
3615.000000	3622.000000	____	Sleep	____
3615.500000	_______	T[0][453]	DelayedArrival	____
3622.000000	3623.000000	T[0][452]	Execute()	1.000000
3623.000000	3625.000000	____	Sleep	____
3623.500000	_______	T[0][454]	DelayedArrival	____
3625.000000	3625.500000	T[1][258]	Execute()	1.000000
3625.500000	3630.000000	____	Sleep	____
3626.000000	_______	T[1][260]	DelayedArrival	____
3630.000000	3631.000000	T[0][453]	Execute()	1.000000
3631.000000	3637.000000	____	Sleep	____
3631.500000	_______	T[0][455]	DelayedArrival	____
3637.000000	3637.500000	T[1][259]	Execute()	1.000000
3637.500000	3639.500000	T[0][454]	Execute()	1.000000
3639.500000	3642.000000	____	Sleep	____
3640.000000	_______	T[0][456]	DelayedArrival	____
3640.000000	_______	T[1][261]	DelayedArrival	____
3642.000000	3642.500000	T[0][455]	Execute()	1.000000
3642.500000	3645.000000	____	Sleep	____
3645.000000	3645.500000	T[1][260]	Execute()	1.000000
3645.500000	3647.000000	____	Sleep	____
3647.000000	3648.000000	T[2][14]	Execute()	1.000000
3648.000000	_______	T[0][457]	DelayedArrival	____
3648.000000	3649.000000	T[0][456]	Execute()	1.000000
3649.000000	3654.000000	T[2][14]	Execute()	1.000000
3654.000000	_______	T[1][262]	DelayedArrival	____
3654.000000	3654.500000	T[1][261]	Execute()	1.000000
3654.500000	3661.000000	____	Sleep	____
3656.000000	_______	T[0][458]	DelayedArrival	____
3661.000000	3663.000000	T[0][457]	Execute()	1.000000
3663.000000	3664.000000	T[2][14]	Execute()	1.000000
3664.000000	_______	T[0][459]	DelayedArrival	____
3664.000000	3664.500000	T[0][458]	Execute()	1.000000
3664.500000	3665.500000	T[2][14]	Execute()	1.000000
3665.500000	3678.000000	____	Sleep	____
3668.000000	_______	T[0][460]	DelayedArrival	____
3668.000000	_______	T[1][263]	DelayedArrival	____
3668.000000	_______	T[2][16]	DelayedArrival	____
3678.000000	3680.000000	T[0][459]	Execute()	1.000000
